Date;Station ID;Depth ;Salinity;NH4;NO32;Dissolved_Inorganic_(NH4_NO32);Dissolved_Organic_(TDN-DIN);SUM_Total_Dissolved;Particulate_(TN_TDN);Total_N_measured;Particulate_Nitrogen_measured;Total_N_(PN_TDN);Dissolved_Inorganic_P_(DRP);Dissolved_Organic_(TDP_DRP);Total_Dissolved_P_(TDP);Particulate_P_(TP_TDP);Total_P_(TP);;;
2016-01-21;649;1;0;15,7;43,8;59,5;21,1;80,7;8,6;89,2;;;2,2;-0,3;1,9;2,3;4,2;;;
2016-02-02;18;1;24;12,4;23,2;35,6;44,4;80,0;-31,6;48,4;;;2,1;0,0;2,1;0,7;2,7;;;
2016-02-02;22;1;24;13,2;23,6;36,8;39,6;76,4;-12,5;63,9;;;2,6;0,4;3,0;0,5;3,4;;;
2016-02-02;27;1;25;14,6;28,8;43,5;34,3;77,8;-20,7;57,1;;;3,2;0,1;3,3;0,4;3,6;;;
2016-02-02;32;1;27;9,1;32,7;41,8;52,4;94,2;-22,8;71,4;;;5,0;-1,2;3,8;3,1;6,9;;;
2016-02-02;36;1;26;9,8;42,0;51,8;43,2;95,0;-10,7;84,2;;;5,6;0,0;5,6;1,6;7,2;;;
2016-02-10;6;1;2;9,6;36,4;46,0;19,1;65,2;7,6;72,8;;;1,9;0,3;2,2;2,3;4,4;;;
2016-02-10;13;1;19;9,1;28,5;37,6;37,3;75,0;-27,6;47,3;;;2,5;-0,1;2,4;0,5;2,8;;;
2016-02-10;657;1;0;11,6;20,3;31,8;30,0;61,8;4,6;66,5;;;1,6;0,7;2,3;1,2;3,5;;;
2016-03-09;6;1;1;13,1;30,0;43,1;13,4;56,5;2,7;59,2;5,1;61,6;2,1;0,0;2,0;1,7;3,7;;;
2016-03-09;13;1;14;8,1;30,4;38,6;32,8;71,4;-17,5;53,9;4,4;75,8;2,4;0,1;2,6;0,4;2,9;;;
2016-03-09;18;1;28;6,9;13,1;19,9;24,6;44,6;-12,4;32,1;5,1;49,7;1,7;0,1;1,8;0,4;2,2;;;
2016-03-09;657;1;0;6,2;13,9;20,1;23,8;43,8;10,6;54,4;6,1;49,9;1,2;0,8;2,0;1,8;3,8;;;
2016-03-16;18;1;19;9,4;21,8;31,3;36,2;67,5;-18,6;48,9;3,4;70,9;2,4;0,1;2,4;0,2;2,6;;;
2016-03-16;22;1;19;9,2;19,1;28,3;37,9;66,2;-9,7;56,5;5,1;71,3;2,2;0,5;2,6;0,1;2,8;;;
2016-03-16;27;1;21;10,3;25,3;35,6;46,5;82,1;-31,1;51,0;7,8;89,9;3,1;-0,4;2,7;0,7;3,5;;;
2016-03-16;32;1;20;10,6;42,1;52,7;61,5;114,2;-27,8;86,4;5,6;119,9;5,8;0,2;6,0;0,3;6,3;;;
2016-03-16;36;1;14;9,1;68,1;77,2;69,9;147,1;41,4;188,5;20,5;167,6;8,1;0,6;8,7;2,2;10,9;;;
2016-04-01;22;1;21;3,0;18,0;21,0;31,6;52,6;-6,4;46,3;4,9;57,5;1,9;0,1;2,0;0,5;2,5;;;
2016-04-01;27;1;20;3,7;24,4;28,1;33,5;61,6;-8,8;52,8;3,6;65,3;3,3;-0,2;3,1;0,2;3,3;;;
2016-04-01;32;1;20;3,3;27,1;30,3;43,9;74,3;-16,8;57,5;10,5;84,7;4,8;0,1;4,9;1,0;5,9;;;
2016-04-01;36;1;16;1,4;132,8;134,2;61,5;195,6;2,9;198,5;21,0;216,6;12,1;0,5;12,6;0,7;13,4;;;
2016-04-15;21;1;25;6,9;12,1;19,1;6,9;26,0;;;6,7;32,7;1,9;-0,1;1,7;0,3;2,0;;;
2016-04-15;22;1;25;3,8;10,5;14,3;9,4;23,6;;;7,7;31,3;1,6;0,4;1,9;0,1;2,0;;;
2016-04-15;27;1;23;1,6;11,9;13,4;10,8;24,2;;;9,4;33,6;2,6;0,1;2,7;0,3;3,0;;;
2016-04-15;32;1;20;4,6;26,3;30,8;15,6;46,5;;;12,4;58,8;6,0;0,2;6,1;-0,1;6,1;;;
2016-04-15;36;1;18;8,4;55,2;63,5;18,6;82,1;;;15,1;97,2;9,6;0,5;10,0;0,3;10,4;;;
2016-04-27;6;1;1;2,3;21,3;23,6;9,1;32,7;;;23,1;55,8;1,8;0,0;1,8;3,3;5,1;;;
2016-04-27;13;1;17;4,6;6,9;11,6;24,6;36,1;-2,4;33,7;;;1,5;1,2;2,7;0,5;3,2;;;
2016-04-27;18;1;27;4,9;8,6;13,5;10,6;24,1;-2,6;21,6;;;1,5;0,1;1,6;0,6;2,2;;;
2016-04-27;22;1;25;6,6;9,3;15,8;9,2;25,1;;;6,7;31,8;2,3;-0,2;2,1;0,7;2,8;;;
2016-04-27;27;1;24;5,8;9,3;15,1;12,3;27,3;;;9,6;37,0;3,8;-1,3;2,6;1,6;4,1;;;
2016-04-27;32;1;22;3,6;9,9;13,5;15,1;28,6;;;13,9;42,5;5,0;-1,9;3,1;3,0;6,1;;;
2016-04-27;36;1;20;5,6;31,6;37,2;19,6;56,8;;;10,6;67,5;8,8;0,8;9,6;-0,3;9,4;;;
2016-04-27;649;1;0;9,1;12,9;22,0;12,9;34,9;;;9,1;44,1;1,4;0,3;1,8;0,8;2,6;;;
2016-05-18;6;1;6;6,5;16,1;22,6;14,1;36,8;;;7,7;44,5;2,4;0,0;2,4;0,4;2,7;;;
2016-05-18;13;1;23;6,0;16,2;22,2;10,6;32,8;-2,2;30,6;;;1,9;0,9;2,8;0,2;3,0;;;
2016-05-18;18;1;31;6,6;14,4;20,9;7,3;28,2;;;6,4;34,6;1,8;0,0;1,8;0,3;2,1;;;
2016-05-18;22;1;28;6,8;15,1;21,8;8,5;30,3;-0,9;29,4;;;2,2;-0,2;2,0;-0,6;1,4;;;
2016-05-18;27;1;26;4,8;17,1;21,8;12,1;34,0;-0,5;33,5;;;3,4;0,3;3,7;0,3;4,1;;;
2016-05-18;32;1;24;4,1;27,1;31,1;16,8;47,9;2,5;50,4;;;7,1;0,7;7,8;-0,1;7,7;;;
2016-05-18;36;1;18;11,4;104,2;115,7;32,1;147,8;;;15,3;163,1;16,6;0,5;17,1;1,6;18,7;;;
2016-05-18;649;1;0;1,5;10,6;12,1;10,8;22,8;;;27,3;50,1;1,2;0,4;1,6;2,6;4,2;;;
2016-06-16;18;1;30;7,0;12,2;19,2;7,4;26,6;;;8,4;35,1;1,9;0,2;2,1;0,2;2,3;;;
2016-06-16;22;1;30;6,9;12,8;19,7;8,0;27,7;;;8,9;36,6;2,2;0,1;2,3;0,2;2,5;;;
